,Product Name,Price,Description
64,Whirlpool 207 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹19,340",Inverter CompressorBuilt-in Stabilizer1 Year on Product and 10 Years on Compressor from Whirlpool
65,Whirlpool 270 L Frost Free Multi-Door Refrigerator,"₹28,790",Reciprocating CompressorBuilt-in Stabilizer1 Year Warranty on Product and 9 Years Warranty on Compressor
66,SAMSUNG 215 L Direct Cool Single Door 5 Star Refrigerator  with Digital Inverter,"₹19,990","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
67,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator  with Digital Inverter,"₹15,890","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
68,Godrej 183 L Direct Cool Single Door 3 Star Refrigerator  with Jumbo Vegetable Tray and Toughened Glas...,"₹13,990",Fixed Speed CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
69,Whirlpool 235 L Frost Free Multi-Door Refrigerator,"₹25,990",Reciprocating CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and  9 Years Warranty on Compressor
70,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,...","₹16,490",Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG
71,SAMSUNG 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Digital Inverter,"₹17,690","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
72,Haier 190 L Direct Cool Single Door 5 Star Refrigerator,"₹16,734",Normal CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor
73,Whirlpool 235 L Frost Free Double Door 2 Star Refrigerator,"₹21,990",Reciprocating CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 9 Years Warranty on Compressor
74,Whirlpool 192 L Direct Cool Single Door 3 Star Refrigerator,"₹15,990",Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty and 9 Years Warranty on Compressor
75,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator  with Digital Inverter,"₹15,890","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
76,SAMSUNG 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Digital Inverter,"₹17,690","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
77,SAMSUNG 223 L Direct Cool Single Door 3 Star Refrigerator  with Digital Inverter,"₹17,790","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
78,Haier 190 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹16,890",Normal CompressorBuilt-in Stabilizer1 Year Warranty on Product and 5 Years Warranty on Compressor
79,Whirlpool 215 L Frost Free Multi-Door Refrigerator,"₹24,490",Reciprocating CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and  9 Years Warranty on Compressor
80,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,...","₹17,690",Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG
81,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digital Inverter,"₹16,390","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
82,Godrej 180 L Direct Cool Single Door 2 Star Refrigerator  with Jumbo Vegetable Tray And Wide Shelf Spa...,"₹12,690",Reciprocatory CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 5 Years Warranty on Motor
83,Whirlpool 235 L Frost Free Double Door 2 Star Refrigerator,"₹22,990",Reciprocating CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 9 Years Warranty on Compressor
84,SAMSUNG 183 L Direct Cool Single Door 3 Star Refrigerator  with Digital Inverter,"₹15,190","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
85,Whirlpool 192 L Direct Cool Single Door 5 Star Refrigerator,"₹17,290",Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 9 Years Warranty on Compressor
86,Voltas Beko 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹15,490",Reciprocating CompressorBuilt-in Stabilizer1 Years Comprehensive Warranty on Product and Additional 10 Years on Compressor
87,SAMSUNG 183 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer  with Digital Inverter,"₹15,990","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
88,Whirlpool 207 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹19,340",Inverter CompressorBuilt-in Stabilizer1 Year on Product and 10 Years on Compressor from Whirlpool
89,Godrej 183 L Direct Cool Single Door 3 Star Refrigerator  with Jumbo Vegetable Tray and Toughened Glas...,"₹13,990",Fixed Speed CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
90,SAMSUNG 215 L Direct Cool Single Door 5 Star Refrigerator  with Digital Inverter,"₹19,990","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
91,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator  with Digital Inverter,"₹15,890","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
92,Whirlpool 270 L Frost Free Multi-Door Refrigerator,"₹28,790",Reciprocating CompressorBuilt-in Stabilizer1 Year Warranty on Product and 9 Years Warranty on Compressor
93,Whirlpool 235 L Frost Free Multi-Door Refrigerator,"₹25,990",Reciprocating CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and  9 Years Warranty on Compressor
94,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,...","₹16,490",Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG
95,SAMSUNG 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Digital Inverter,"₹17,690","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
96,Haier 190 L Direct Cool Single Door 5 Star Refrigerator,"₹16,734",Normal CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor
97,Whirlpool 235 L Frost Free Double Door 2 Star Refrigerator,"₹21,990",Reciprocating CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 9 Years Warranty on Compressor
98,Whirlpool 192 L Direct Cool Single Door 3 Star Refrigerator,"₹15,990",Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty and 9 Years Warranty on Compressor
99,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator  with Digital Inverter,"₹15,890","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
100,SAMSUNG 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Digital Inverter,"₹17,690","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
101,SAMSUNG 223 L Direct Cool Single Door 3 Star Refrigerator  with Digital Inverter,"₹17,790","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
